WKT,GEOID,week_ending,biweekly_average_o3_pred,biweekly_average_o3_var
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/01/12,24.7502835782424,21.5996168080468
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/01/26,34.1775626648989,19.1819798542028
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/02/09,26.5278999546562,8.85846569292226
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/02/23,39.0900907925423,12.075067187493
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/03/09,35.631154826883,26.3213283577874
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/03/23,47.1822555942391,11.9489727986611
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/04/06,50.2519829664005,10.330418425035
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/04/20,51.5621237216326,12.6924343398988
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/05/04,53.4023892102353,6.95799367156063
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/05/18,48.1297968331432,14.7155998061693
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/06/01,51.0208531966167,5.11714451716245
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/06/15,54.3698509483975,13.8834353621366
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/06/29,55.6428571428571,15.1096371413078
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/07/13,58.572062326437,12.4814935210652
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/07/27,58.0832026188114,12.9760625355935
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/08/10,55.9884375163263,14.9740976253731
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/08/24,52.6023079951229,16.1154395243079
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/09/07,47.299783864078,24.5121319137592
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/09/21,43.8260103133479,23.6130797027404
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/10/05,45.5315851919591,25.8112120716801
