WKT,GEOID,week_ending,biweekly_average_pm_pred,biweekly_average_pm_var
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/01/12,10.1873183629496,9.12810610816652
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/01/26,6.15106914561071,1.74063571576995
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/02/09,16.045684892058,18.3049518894116
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/02/23,13.4778882271211,20.2889095807016
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/03/09,9.49429345519168,1.8231548321515
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/03/23,3.13416781883336,0.422855096816325
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/04/06,5.15665662222364,1.07220311486345
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/04/20,4.90364898742625,0.819381486906509
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/05/04,4.0391384951045,0.823420568362234
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/05/18,5.21996644400867,0.322982247301649
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/06/01,6.28107659234552,0.629099965321216
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/06/15,7.48241848180207,1.09621790811742
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/06/29,7.6003906781228,0.0906573068972857
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/07/13,9.97427608126827,4.26525014024701
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/07/27,10.2756774151287,0.588283939723061
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/08/10,6.84989947489231,1.4541212645202
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/08/24,7.23664714839252,0.656503505874211
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/09/07,5.80943206900833,0.842666864862976
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/09/21,6.06079947495495,1.38312229638416
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/10/05,6.77892798847376,1.04819995517634
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/10/19,6.61222621038468,1.89329125101695
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/11/02,8.7347893429239,2.52050996670884
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/11/16,7.92938369880678,6.22538689805321
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/11/30,6.00849434724995,1.09966468017101
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/12/14,13.6852310407731,8.29102845441686
"POINT (-766134.50034474 1898820.95793947)",08031000102,2014/12/28,9.30396186534638,2.3469025787661
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/01/12,10.3952611051135,9.20308288897208
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/01/26,6.17334487296528,1.7487351962025
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/02/09,18.00833848795,3.24825482750466
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/02/23,13.5549509966802,19.1937083594259
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/03/09,9.23055102562424,1.12320730100068
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/03/23,3.0265033836365,0.0564532594395274
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/04/06,4.89789698582718,0.501760729680813
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/04/20,4.74382308321784,0.203236977640961
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/05/04,3.73424196988099,0.19696968269895
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/05/18,5.05337218944581,0.142387692918036
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/06/01,6.38459404365419,0.613280683847587
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/06/15,7.51857433162789,1.07915777105514
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/06/29,7.55470867112542,0.00742982152361374
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/07/13,10.0065454960387,4.23655580695366
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/07/27,10.4045021750358,0.0684955532128928
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/08/10,6.8980429154727,1.46190388602907
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/08/24,7.3224827900628,0.545580344015631
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/09/07,5.62563879198758,0.142575359636736
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/09/21,5.82085174144531,0.863985307985176
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/10/05,6.88606054459338,0.948970548455357
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/10/19,6.66348051018067,1.84636491719988
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/11/02,8.77247309950359,2.06786514464638
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/11/16,7.93148632365066,5.89052676569032
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/11/30,5.89877565361762,0.510083018053479
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/12/14,14.1843507059355,8.4095304849717
"POINT (-763711.527376102 1899404.85248987)",08031000201,2014/12/28,8.84955510737322,1.18780004578942
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/01/12,10.3502314957144,9.17748568932495
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/01/26,6.15401626454219,1.7452315731709
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/02/09,17.7230436866858,1.13261831242802
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/02/23,13.5203867665428,18.9398385443447
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/03/09,9.29876125219481,0.904550235519726
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/03/23,3.14576884522521,0.0211412981289275
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/04/06,4.86210566382297,0.223496712988015
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/04/20,4.75514421749701,0.0697374776182959
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/05/04,3.75396762251902,0.0675137635994287
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/05/18,5.0910471293336,0.0907264229415346
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/06/01,6.37116897363653,0.607621520851174
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/06/15,7.51272535214913,1.07331701884922
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/06/29,7.64870941748442,0.00253952191156016
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/07/13,10.005909383389,4.21861718650089
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/07/27,10.439878532765,0.0265315268698058
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/08/10,6.8956347741514,1.45825304866507
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/08/24,7.29872662901531,0.527051743741147
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/09/07,5.75815480883814,0.0503882824530463
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/09/21,5.83811673643729,0.615358182406991
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/10/05,6.85870766698732,0.928203143221143
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/10/19,6.66219388929864,1.83261248890397
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/11/02,8.68734172177449,1.92731705051316
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/11/16,7.91693114689886,5.77964139535211
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/11/30,5.78680057974147,0.314772989541343
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/12/14,14.1173677796891,8.37562527298727
"POINT (-763815.747625989 1898572.25851956)",08031000202,2014/12/28,8.8988892304483,0.864942505055395
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/01/12,10.147105345843,9.11226889064442
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/01/26,6.13239116149518,1.738256196743
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/02/09,15.4073253228085,18.2635903170474
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/02/23,13.4206577372678,20.0285177876299
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/03/09,9.67627499554483,1.75236988789184
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/03/23,3.26818026605499,0.422995673654335
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/04/06,5.20987352797905,1.07046214500173
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/04/20,4.97974596033041,0.821004537445282
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/05/04,4.13347060052943,0.824864806752695
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/05/18,5.3127504278531,0.306736841335064
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/06/01,6.2706033552567,0.625149071440714
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/06/15,7.47590013102746,1.09092888933751
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/06/29,7.6502640465028,0.0837203725579409
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/07/13,9.97181563338502,4.25426089568987
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/07/27,10.3067462468738,0.585100006569991
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/08/10,6.84841932422858,1.45166608547708
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/08/24,7.21267987313632,0.633154497143636
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/09/07,5.98230833943685,0.847237560279407
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/09/21,6.18269348214369,1.35397730277906
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/10/05,6.7526678501861,1.02511831827269
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/10/19,6.60813718149261,1.88049347582662
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/11/02,8.71609705036178,2.44627323250387
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/11/16,7.9476341895246,6.19777133712557
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/11/30,6.06276268821498,1.0545143056893
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/12/14,13.6294541292899,8.27241281093982
"POINT (-766186.357097292 1898011.14334305)",08031000301,2014/12/28,9.52778201420134,2.23378694738428
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/01/12,10.0518920143325,9.09801980654808
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/01/26,6.10788242385088,1.73631406775838
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/02/09,14.0527149372485,22.0567830095368
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/02/23,13.2818378696731,20.2716124492569
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/03/09,9.94385815768402,1.89814118180566
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/03/23,3.46906532103094,0.536165229976978
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/04/06,5.32234740259597,1.12390061405142
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/04/20,5.12610754756941,0.926291411683352
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/05/04,4.34179927488235,0.937531992461673
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/05/18,5.45111324124974,0.344277391348199
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/06/01,6.22928047445752,0.630593002104118
"POINT (-766877.506099576 1897052.70054366)",08031000302,2014/06/15,7.45449273563417,1.09451336022915
