WKT,eis_facility_site_id,program_system_code,alt_agency_id,region_cd,st_usps_cd,county_name,state_and_county_fips_code,tribal_name,facility_site_name,naics_cd,naics_description,facility_source_type,location_address_text,locality,addr_state_cd,address_postal_code,emissions_operating_type,pollutant_cd,pollutant_desc,total_emissions,uom,fips_state_code,company_name,reporting_period,major_source
"POINT (-750385.663521969 1891973.41683244)",583411,CODPH,CO0000000800501,08,CO,Arapahoe,08005,,AURORA PUBLIC SCHOOLS,611110,Elementary and Secondary Schools,"Institutional (school, hospital, pr",1085 PEORIA ST,AURORA,CO,80011-6297,R,VOC,Volatile Organic Compounds,0.201894,TON,08,Na,A,0
"POINT (-762960.999161621 1892752.00686984)",583711,CODPH,CO0000000803100,08,CO,Denver,08031,,CO. COLLISION CENTER DBA PERRY + TERRY C,811121,"Automotive Body, Paint, and Interior Repair a","Auto Body, Painting, or Repair Shop",621 W 8TH AVE,DENVER,CO,80204-4526,R,VOC,Volatile Organic Compounds,1.45,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,EC,Elemental Carbon portion of PM2.5-PRI,0.0244600795,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,NO3,Nitrate portion of PM2.5-PRI,0.0391528235,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,OC,Organic Carbon portion of PM2.5-PRI,0.105854542,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,PM-CON,PM Condensible,0.11223,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,PM10-FIL,PM10 Filterable,2.72614,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,PM10-PRI,PM10 Primary (Filt + Cond),2.83837,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,PM25-FIL,PM2.5 Filterable,0.722585,TON,08,Na,A,0
"POINT (-769613.623810538 1915787.81745486)",598211,CODPH,CO0000000801400,08,CO,Broomfield,08014,,AGGREGATE INDUSTRIES - BROOMFIELD PLANT,327320,Ready-Mix Concrete Manufacturing,Concrete Batch Plant,845 COMPTON ST,BROOMFIELD,CO,80020,R,PM25-PRI,PM2.5 Primary (Filt + Cond),0.834815,TON,08,Na,A,0
