WKT,TRI_FACILITY_ID,FACILITY_NAME,CLASSIFICATION,total_ppy,total_tpy
"POINT (-768159.038093279 1900598.34634087)",80002FRNTR6155W,ADVANCED SURFACE TECHNOLOGIES INC,TRI,296.58532398,0.14829266199
"POINT (-766596.500180688 1901406.82232595)",80002NDLCH4711W,INDUSTRIAL CHEMICALS CORP,TRI,60.42642958,0.03021321479
"POINT (-767080.124667364 1901013.78480358)",80002RDYMX555SH,READY MIXED CONCRETE PLANT 11,PBT,8.81848e-005,4.40924e-008
"POINT (-776586.657367162 1903458.12427474)",80007SNDYN14845,SUNDYNE LLC,TRI,0,0
"POINT (-767599.893352315 1900989.50944329)",8000WMRTNM54FEN,MARTIN MARIETTA ARVADA READY MIX,PBT,0.00503094284,2.51547142e-006
"POINT (-767599.893352315 1900989.50944329)",8000WMRTNM54FEN,MARTIN MARIETTA ARVADA READY MIX,TRI,0,0
"POINT (-740856.358834177 1894901.48803606)",80011FRSTN2125E,FIRESTONE BUILDING PRODUCTS CO,TRI,0.015763033,7.8815165e-006
"POINT (-741227.580630093 1893949.47888586)",80011JHNHH21100,ADVANCED CIRCUITS INC,PBT,0.0506621676,2.53310838e-005
"POINT (-741227.580630093 1893949.47888586)",80011JHNHH21100,ADVANCED CIRCUITS INC,TRI,90.6925993424,0.0453462996712
"POINT (-748083.716046571 1895717.09121146)",80011NVRSL14002,SPG INTERNATIONAL LLC BR #X032 UNIVERSAL BRAND,TRI,0,0
"POINT (-746956.033046397 1894117.60340366)",80011RDYMX1532E,READY MIXED CONCRETE PLANT 12,PBT,0.000597011096,2.98505548e-007
"POINT (-746956.033046397 1894117.60340366)",80011RDYMX1532E,READY MIXED CONCRETE PLANT 12,TRI,0,0
"POINT (-744158.130760687 1890221.29792973)",80011SRFRC18401,U.S. DOD USAF BUCKLEY AFB CO,PBT,10.47635424,0.00523817712
"POINT (-744158.130760687 1890221.29792973)",80011SRFRC18401,U.S. DOD USAF BUCKLEY AFB CO,TRI,3.1168476636,0.0015584238318
